code	species	origin	life_span	form	family	speciesID	location
Mar_vul	"Marrubium vulgare"	Exotic	Perennial	Herb	Lamiaceae	1	1
Har_vio	"Hardenbergia violacea"	Native	Perennial	Legume	Fabaceae	1	1
Dic_ari	"Dichanthium aristatum"	Exotic	Perennial	Grass	Poaceae	1	1
Cym_ref	"Cymbopogon refractus"	Native	Perennial	Grass	Poaceae	1	2
Men_sat	"Mentha satureioides"	Native	Perennial	Herb	Lamiaceae	1	2
Sid_corr	"Sida corrugata"	Native	Perennial	Herb	Malvaceae	1	1
Sol_nig	"Solanum nigrum"	Exotic	Perennial	Herb	Solanaceae	1	2
Cyp_dif	"Cyperus difformis"	Native	Perennial	Sedge/Rush	Cyperaceae	1	2
Ein_nut	"Einadia nutans"	Native	Perennial	Herb	Chenopodiaceae	1	2
Vit_pus	"Vittadinia pustulata"	Native	Perennial	Herb	Asteraceae	1	1
Cro_inc	"Crotalaria incana"	Exotic	Perennial	Legume	Fabaceae	1	1
Ind_hir	"Indigofera hirsuta"	Native	Perennial	Legume	Fabaceae	1	1
Sid_hac	"Sida hackettiana"	Native	Perennial	Herb	Malvaceae	1	1
Ind_lini	"Indigofera linifolia"	Native	Perennial	Legume	Fabaceae	1	1
Tag_min	"Tagetes minuta"	Exotic	Annual	Herb	Asteraceae	1	3
Rum_bro	"Rumex brownii"	Native	Perennial	Herb	Polygonaceae	1	2
Clu_lik	"Unknown_weed"	NA	NA	Herb	NA	0	3
Hyp_fil	"Hyparrhenia filipendula"	Native	Perennial	Grass	Poaceae	1	1
Cir_vul	"Cirsium vulgare"	Exotic	Annual	Herb	Asteraceae	1	2
Vio_hed	"Viola hederacea"	Native	Perennial	Herb	Violaceae	1	1
Opu_tom	"Opuntia tomentosa"	Exotic	Perennial	Shrub	Cactaceae	1	1
Uro_pan	"Urochloa panicoides var panicoides"	Exotic	Perennial	Grass	Poaceae	1	3
Cyp_bre	"Cyperus brevifolius"	Exotic	Perennial	Sedge/Rush	Cyperaceae	1	2
Dic_cri	"Dichelachne crinita"	Native	Perennial	Grass	Poaceae	1	1
Zin_per	"Zinnia peruviana"	Exotic	Annual	Herb	Asteraceae	1	1
Chl_ven	"Chloris ventricosa"	Native	Perennial	Grass	Poaceae	1	2
Dic_ann	"Dichanthium annulatum"	Exotic	Perennial	Grass	Poaceae	1	1
Euc_sph	"Euchiton sphaericus"	Native	Perennial	Herb	Asteraceae	1	2
Sor_lei	"Sorghum leiocladum"	Native	Perennial	Grass	Poaceae	1	1
Chr_fal	"Chrysopogon fallax"	Native	Perennial	Grass	Poaceae	1	1
Jas_dia	"Jasminum dianthifolia"	Native	Perennial	Herb	Oleaceae	1	1
Ste_jap	"Stephania japonica"	Native	Perennial	Herb	Menispermaceae	1	3
Mac_coc	"Maclura cochinchinensis"	Native	Perennial	Vine	Moraceae	1	1
Seh_ner	"Sehima nervosum"	Native	Perennial	Grass	Poaceae	1	1
Vit_sul	"Vittadinia sulcata"	Native	Perennial	Herb	Asteraceae	1	1
Spo_elo	"Sporobolus elongatus "	Native	Perennial	Grass	Poaceae	1	2
Meg_max	"Megathyrsus maximus"	Exotic	Perennial	Grass	Poaceae	1	1
Sid_cord	"Sida cordifolia"	Exotic	Perennial	Herb	Malvaceae	1	1
Nep_gra	"Neptunia gracilis"	Native	Perennial	Legume	Fabaceae	1	1
Fle_pau	"Flemingia parviflora"	Native	Perennial	Legume	Fabaceae	1	1
Des_bra	"Desmodium brachypoda"	Native	Perennial	Legume	Fabaceae	1	1
Dic_rep	"Dichondra repens"	Native	Perennial	Herb	Convolvulaceae	1	2
Bru_aca	"Brunoniella acaulis"	Native	Perennial	Herb	Acanthaceae	1	1
Ere_deb	"Eremophila debilis"	Native	Perennial	Herb	Scrophulariaceae	1	1
Spi_gum	"Fimbristylis spp_unknown_1"	NA	NA	Sedge/Rush	Cyperaceae	0	2
Era_lep	"Eragrostis leptostachya"	Native	Perennial	Grass	Poaceae	1	2
Gal_par	"Galinsoga parviflora"	Exotic	Annual	Herb	Asteraceae	1	2
Cus_cam	"Cuscuta campestris"	Exotic	Annual	Vine	Convolvulaceae	1	1
Lom_mul	"Lomandra multiflora"	Native	Perennial	Sedge/Rush	Asparagaceae	1	1
Fim_dic	"Fimbristylis dichotoma"	Native	Perennial	Sedge/Rush	Cyperaceae	1	1
Lom_con	"Lomandra confertifolia"	Native	Perennial	Sedge/Rush	Asparagaceae	1	1
Aca_mai	"Acacia maidenii"	Native	Perennial	Tree	Fabaceae	1	1
Cor_cit	"Corymbia citriodora"	Native	Perennial	Tree	Myrtaceae	1	2
Ari_cal	"Aristida calycina"	Native	Perennial	Grass	Poaceae	1	1
Aca_sal	"Acacia salicina"	Native	Perennial	Tree	Fabaceae	1	1
All_lue	"Allocasuarina luehmannii"	Native	Perennial	Tree	Casuarinaceae	1	1
Pul_euc	"Pultenaea euchila"	Native	Perennial	Shrub	Fabaceae	1	1
Aca_neo	"Acacia neobrachycarpa"	Native	Perennial	Shrub	Fabaceae	1	1
Exo_cup	"Exocarpos cupressiformis"	Native	Perennial	Tree	Santalaceae	1	1
Euc_melp	"Eucalyptus melanophloia"	Native	Perennial	Tree	Myrtaceae	1	1
Bra_pop	"Brachychiton populneus"	Native	Perennial	Tree	Malvaceae	1	1
Euc_cre	"Eucalyptus crebra"	Native	Perennial	Tree	Myrtaceae	1	2
Gre_str	"Grevillea striata"	Native	Perennial	Tree	Proteaceae	1	1
Smi_aus	"Smilax australis"	Native	Perennial	Vine	Smilacaceae	1	1
Ang_sub	"Angophora subvelutina"	Native	Perennial	Tree	Myrtaceae	1	1
Euc_ter	"Eucalyptus tereticornis"	Native	Perennial	Tree	Myrtaceae	1	1
Aca_lei	"Acacia leiocalyx"	Native	Perennial	Tree	Fabaceae	1	1
Lom_lon	"Lomandra longifolia"	Native	Perennial	Sedge/Rush	Asparagaceae	1	1
Cor_tes	"Corymbia tessellaris"	Native	Perennial	Tree	Myrtaceae	1	1
Xan_gla	"Xanthorrhoea glauca"	Native	Perennial	Tree	Asphodelaceae	1	1
Alp_exc	"Alphitonia excelsa"	Native	Perennial	Tree	Rhamnaceae	1	1
?Lig_vul	"?Ligustrum vulgare "	Exotic	Perennial	Tree	Oleaceae	1	1
Cor_int	"Corymbia intermedia"	Native	Perennial	Tree	Myrtaceae	1	1
Jac_mim	"Jacaranda mimosifolia"	Exotic	Perennial	Tree	Bignoniaceae	1	1
Psy_odo	"Psydrax odorata"	Native	Perennial	Tree	Rubiaceae	1	1
Aca_con	"Acacia concurrens"	Native	Perennial	Tree	Fabaceae	1	1
Fic_cor	"Ficus coronata"	Native	Perennial	Tree	Moraceae	1	1
Bre_obl	"Breynia oblongifolia"	Native	Perennial	Tree	Phyllanthaceae	1	1
Gre_ret	"Grewia latifolia"	Native	Perennial	Shrub	Malvaceae	1	2
Ale_con	"Alectryon connatus"	Native	Perennial	Tree	Sapindaceae	1	1
Ery_ves	"Erythrina vespertilio"	Native	Perennial	Tree	Fabaceae	1	1
Ale_pub	"Alectryon pubescens"	Native	Perennial	Tree	Sapindaceae	1	1
Aca_T36	"Acacia spp_T36"	NA	Perennial	Shrub	Fabaceae	0	1
Asp_afr	"Asparagus africanus"	Exotic	Perennial	Vine	Asparagaceae	1	1
Euc_mell	"Eucalyptus mellidora"	Native	Perennial	Tree	Myrtaceae	1	1
Don_vis	"Dodonaea viscosa"	Native	Perennial	Shrub	Sapindaceae	1	1
