code	species	origin	life_span	form	family
Poe_057	NA	NA	NA	Grass	Poaceae
Poe_065	NA	NA	NA	Grass	Poaceae
Poe_068	NA	NA	NA	Grass	Poaceae
Poe_074	NA	NA	NA	Grass	Poaceae
Poe_079	NA	NA	NA	Grass	Poaceae
Poe_082	NA	NA	NA	Grass	Poaceae
Poe_083	NA	NA	NA	Grass	Poaceae
Poe_086	NA	NA	NA	Grass	Poaceae
Poe_091	NA	NA	NA	Grass	Poaceae
Poe_092	NA	NA	NA	Grass	Poaceae
Poe_095	NA	NA	NA	Grass	Poaceae
Poe_105	NA	NA	NA	Grass	Poaceae
Poe_106	NA	NA	NA	Grass	Poaceae
Poe_108	NA	NA	NA	Grass	Poaceae
Poe_110	NA	NA	NA	Grass	Poaceae
Poe_116	NA	NA	NA	Grass	Poaceae
Poe_117	NA	NA	NA	Grass	Poaceae
Poe_119	NA	NA	NA	Grass	Poaceae
Poe_120	NA	NA	NA	Grass	Poaceae
Poe_122	NA	NA	NA	Grass	Poaceae
Poe_123	NA	NA	NA	Grass	Poaceae
Poe_127	NA	NA	NA	Grass	Poaceae
Poe_131	NA	NA	NA	Grass	Poaceae
Poe_133	NA	NA	NA	Grass	Poaceae
Poe_134	NA	NA	NA	Grass	Poaceae
Poe_135	NA	NA	NA	Grass	Poaceae
Poe_136	NA	NA	NA	Grass	Poaceae
Poe_137	NA	NA	NA	Grass	Poaceae
Poe_138	NA	NA	NA	Grass	Poaceae
Poe_142	NA	NA	NA	Grass	Poaceae
Poe_143	NA	NA	NA	Grass	Poaceae
Poe_144	NA	NA	NA	Grass	Poaceae
Poe_145	NA	NA	NA	Grass	Poaceae
Poe_146	NA	NA	NA	Grass	Poaceae
Poe_147	NA	NA	NA	Grass	Poaceae
Poe_148	NA	NA	NA	Grass	Poaceae
Poe_149	NA	NA	NA	Grass	Poaceae
Poe_150	NA	NA	NA	Grass	Poaceae
Poe_151	NA	NA	NA	Grass	Poaceae
Poe_152	NA	NA	NA	Grass	Poaceae
Poe_153	NA	NA	NA	Grass	Poaceae
Poe_154	NA	NA	NA	Grass	Poaceae
Poe_155	NA	NA	NA	Grass	Poaceae
Poe_156	NA	NA	NA	Grass	Poaceae
Poe_157	NA	NA	NA	Grass	Poaceae
Poe_158	NA	NA	NA	Grass	Poaceae
Poe_159	NA	NA	NA	Grass	Poaceae
Poe_160	NA	NA	NA	Grass	Poaceae
Poe_161	NA	NA	NA	Grass	Poaceae
Poe_162	NA	NA	NA	Grass	Poaceae
Poe_163	NA	NA	NA	Grass	Poaceae
Poe_164	NA	NA	NA	Grass	Poaceae
Poe_165	NA	NA	NA	Grass	Poaceae
Poe_166	NA	NA	NA	Grass	Poaceae
For_002	NA	NA	NA	NA	Apiaceae
For_007	NA	NA	NA	NA	NA
For_008	NA	NA	NA	NA	NA
For_009	NA	NA	NA	NA	NA
For_017	NA	NA	NA	NA	NA
For_021	NA	NA	NA	NA	NA
For_022	NA	NA	NA	NA	NA
For_023	NA	NA	NA	NA	NA
For_024	NA	NA	NA	NA	NA
For_025	NA	NA	NA	NA	NA
For_027	NA	NA	NA	NA	NA
For_029	NA	NA	NA	NA	NA
For_030	NA	NA	NA	NA	NA
For_031	NA	NA	NA	NA	NA
For_035	NA	NA	NA	NA	NA
For_037	NA	NA	NA	NA	NA
For_038	NA	NA	NA	NA	NA
For_039	NA	NA	NA	NA	NA
For_040	NA	NA	NA	NA	NA
For_046	NA	NA	NA	NA	Malvaceae
For_049	NA	NA	NA	NA	NA
For_050	NA	NA	NA	NA	NA
For_052	NA	NA	NA	NA	NA
For_080	NA	NA	NA	NA	NA
For_082	NA	NA	NA	NA	NA
For_083	NA	NA	NA	NA	NA
For_084	NA	NA	NA	NA	NA
For_089	NA	NA	NA	NA	NA
For_093	NA	NA	NA	NA	NA
For_094	NA	NA	NA	NA	NA
For_098	NA	NA	NA	NA	NA
For_100	NA	NA	NA	NA	NA
For_101	NA	NA	NA	NA	NA
For_102	NA	NA	NA	NA	NA
For_103	NA	NA	NA	NA	NA
For_105	NA	NA	NA	NA	NA
For_106	NA	NA	NA	NA	NA
For_107	NA	NA	NA	NA	NA
For_108	NA	NA	NA	NA	NA
For_109	NA	NA	NA	NA	NA
For_110	NA	NA	NA	NA	NA
For_111	NA	NA	NA	NA	NA
For_112	NA	NA	NA	NA	NA
Cyp_001	NA	NA	NA	Sedge/Rush	Cyperaceae
Cyp_002	NA	NA	NA	Sedge/Rush	Cyperaceae
Cyp_003	NA	NA	NA	Sedge/Rush	Cyperaceae
Cyp_004	NA	NA	NA	Sedge/Rush	Cyperaceae
Cyp_005	NA	NA	NA	Sedge/Rush	Cyperaceae
Cyp_006	NA	NA	NA	Sedge/Rush	Cyperaceae
Cyp_007	NA	NA	NA	Sedge/Rush	Cyperaceae
Cyp_010	NA	NA	NA	Sedge/Rush	Cyperaceae
