code	species	origin	life_span	form	family	speciesID	location	legume
Cir_vul	"Cirsium vulgare"	Exotic	Biennial	Herb	Asteraceae	1	2	0
Cor_cit	"Corymbia citriodora"	Native	Perennial	Tree	Myrtaceae	1	0	0
Poe_001	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_002	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_003	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_004	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_006	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_007	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_008	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_009	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_011	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_014	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_017	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_018	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_019	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_020	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_029	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_045	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_048	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_050	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_057	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_065	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_068	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_074	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_079	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_082	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_083	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_086	"NA"	NA	NA	Grass	Poaceae	0	0	0
Seh_ner	"Sehima nervosa"	Native	Perennial	Grass	Poaceae	1	0	0
Poe_092	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_095	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_105	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_106	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_108	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_110	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_116	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_117	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_119	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_120	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_122	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_123	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_127	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_131	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_133	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_134	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_135	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_136	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_137	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_138	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_142	"NA"	NA	NA	Grass	Poaceae	0	0	0
